canonical_key,match_value,display_term,enriched_description,category,potential
michelin-bib-gourmand,michelinbibgourmand,Michelin Bib Gourmand,Michelin Bib Gourmand award recognizing restaurants offering quality food at moderate prices,fnb,high
coffee-shop,咖啡店,Cafe,"Generic coffee shop and cafe concept in HK, ranging from 茶餐廳-style to specialty cafes",fnb,low
specialty-coffee,精品咖啡,精品咖啡,"High-quality artisanal coffee culture, including pour-over, single-origin beans, and third-wave coffee shops",fnb,high
hk-fine-dining,香港高級餐廳,香港高級餐廳,"Upscale dining experiences in HK featuring tasting menus, premium ingredients, and refined service",fnb,low
hk-mcdonalds,香港麥當勞,香港麥當勞,"McDonald's fast food chain in Hong Kong, known for localized menu items like Shake Shake Fries",poi,medium
wonton,wonton,雲吞,"Cantonese dumplings filled with shrimp and pork, a signature HK noodle soup ingredient",fnb,high
noodles,noodles,麵食,"Broad category of noodle dishes spanning Chinese, Japanese, and Southeast Asian styles popular in HK",fnb,high
nepalese-food,nepalfood,尼泊爾菜,"Nepalese cuisine, with a notable presence in HK due to the Nepalese community, featuring momos and curries",fnb,low
french-food,frenchfood,法國菜,"French cuisine, from casual bistro fare to haute cuisine, well-represented in HK's dining scene",fnb,low
crepe,可麗餅,可麗餅,"Thin French pancake served with sweet or savory fillings, popular as a dessert and street food in HK",fnb,low
dessert,甜品,甜品,"Broad dessert category covering HK-style sweets (糖水), Western pastries, and Asian confections",fnb,low
thai-food,泰國菜,泰國菜,"Thai cuisine featuring bold flavors of sweet, sour, spicy, and savory, with strong presence in HK's九龙城 district",fnb,low
indian-cuisine,IndianCuisine,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
paratha,Paratha,Paratha,"Flaky layered South Asian flatbread, commonly served with curry in HK's Indian and Pakistani restaurants",fnb,high
banh-mi,Banhmi,越南法包,"Vietnamese baguette sandwich filled with meats, pickled vegetables, and herbs, increasingly popular in HK",fnb,high
chiuchow-daleng,潮州打冷,潮州打冷,"Chiuchow (Chaozhou) late-night dining culture featuring marinated cold dishes, congee, and oyster omelettes",fnb,high
hk-chinese-cuisine,香港中菜,香港中菜,"Broad category of Chinese regional cuisines available in HK, dominated by Cantonese but including Sichuan, Shanghainese, and more",fnb,low
hot-sour-noodles,酸辣粉,酸辣粉,"Spicy and sour glass noodle soup (酸辣粉) from Sichuan/Chongqing, a hugely popular street food trend in HK",fnb,high
hk-street-food,香港街頭小食,香港街頭小食,"Hong Kong street food culture including fish balls, siu mai, egg waffles, and stinky tofu from hawker stalls",fnb,low
hotpot,hotpot,火鍋,"Hot pot dining format where diners cook raw ingredients in simmering broth at the table, a HK staple",fnb,high
8five2-restobar,8five2restobar,8Five2Restobar,"Popular bar and restaurant in Tsim Sha Tsui known for fusion food, shisha, and nightlife atmosphere",poi,medium
mexican-food,墨西哥菜,墨西哥菜,"Mexican cuisine including tacos, burritos, and quesadillas, a growing food trend in HK's dining scene",fnb,low
bar-restaurant,酒吧餐廳,酒吧餐廳,"Hybrid bar and restaurant concept serving food alongside alcoholic beverages, common HK nightlife format",fnb,low
hk-rice-noodles,香港米線,香港米線,"HK-style rice noodle dishes (米線), particularly Yunnan-style mixian with spicy broth and customizable toppings",fnb,high
hibi-teppanyaki,hibiteppanyaki,hibiteppanyaki,Teppanyaki restaurant in HK serving Japanese-style grilled dishes prepared tableside on an iron griddle,poi,medium
teppanyaki,鐵板燒,鐵板燒,"Japanese cooking style where chefs prepare food on an iron griddle at the table, popular HK dining experience",fnb,high
swiss-food,swissfood,瑞士菜,"Swiss cuisine featuring fondue, raclette, and rösti, a niche but present dining category in HK",fnb,low
bagel,bagel,Bagel,"Dense ring-shaped bread roll, popular as a breakfast and brunch item in HK cafes and bakeries",fnb,low
bakery,bakery,麵包店,"Bread and pastry shops in HK, ranging from traditional Chinese bakeries (餅店) to artisanal Western-style bakeries",fnb,high
kushi-katsu,串カツ専門店,串カツ,"Japanese deep-fried skewered meat and vegetables (串カツ), an Osaka specialty gaining popularity in HK izakayas",fnb,high
to-kwa-wan-food,土瓜灣美食,土瓜灣美食,"Local dining scene in To Kwa Wan, a traditional Kowloon neighborhood known for authentic Cantonese eateries",fnb,low
middle-eastern-food,中東菜,中東菜,"Middle Eastern cuisine including hummus, kebabs, shawarma, and falafel, a growing food category in HK",fnb,low
middle-eastern-food,MiddleEasternFood,中東菜,"Middle Eastern cuisine including hummus, kebabs, shawarma, and falafel, a growing food category in HK",fnb,low
garlic-bread,蒜蓉包,蒜蓉包,"Toasted bread topped with garlic butter, a popular side dish and starter in HK Western restaurants",fnb,low
pork-rack,豬鞍,豬鞍,"Prime cut of pork served as a main dish, common in HK Western and hotel restaurants",fnb,high
seafood,海鮮,海鮮,"Broad seafood category central to HK cuisine, from live seafood restaurants in Sai Kung to street-level fish ball stalls",fnb,high
pizza,pizza,Pizza,"Italian-style flatbread with toppings, widely available in HK from international chains to artisanal Neapolitan pizzerias",fnb,high
oysters,oysters,生蠔,"Fresh oysters served raw or cooked, a popular HK seafood item from buffet spreads to specialty oyster bars",fnb,high
mochi,麻糬,麻糬,"Japanese glutinous rice cake with sweet fillings, a popular dessert and snack trend in HK",fnb,high
korean-street-food,韓國小吃,韓國街頭小食,"Korean street food including tteokbokki, corn dogs, and fish cakes, increasingly popular in HK's Korean food scene",fnb,low
butter-rice-cake,牛油年糕,牛油年糕,"Pan-fried rice cakes with butter, a popular Korean-influenced snack and side dish trend in HK",fnb,high
japanese-food,japanesefood,日本菜,"Broad Japanese cuisine category dominating HK's dining scene, from ramen and sushi to izakaya and teppanyaki",fnb,low
izakaya,居酒屋,居酒屋,"Japanese casual pub-style dining with small plates and drinks, a highly popular HK dining format",fnb,high
sashimi,sashimi,刺身,"Fresh raw fish sliced and served without rice, a staple of Japanese dining and HK sushi restaurants",fnb,high
spanish-food,西班牙菜,西班牙菜,"Spanish cuisine including tapas, paella, and jamón, well-represented in HK's dining and wine bar scene",fnb,low
coffee-shop,coffee,Cafe,"Generic coffee shop and cafe concept in HK, ranging from 茶餐廳-style to specialty cafes",fnb,low
shin-kimchi-stir-fry,shinkimchistirfry,Shin Kimchi Stir Fry,"Nongshim Shin Ramyun Kimchi stir-fry instant noodle variant, popular Korean instant noodle product in HK",fnb,high
nongshim,nongshim,Nongshim,Major Korean food and beverage company best known in HK for Shin Ramyun instant noodles and snacks,fnb,high
shin-ramyun,shinramyun,Shin Ramyun,"Iconic Korean spicy instant noodle brand by Nongshim, a staple pantry item and comfort food in HK",fnb,high
hk-cheap-eats,平價美食,香港平價美食,"Affordable dining options in HK including cha chaan teng, dai pai dong, and street food stalls offering budget-friendly meals",fnb,low
chicken-paitan,雞白湯,雞白湯,"Creamy chicken-based ramen broth (鶏白湯), a popular ramen style in HK alongside traditional tonkotsu",fnb,high
yoshinoya,吉野家,吉野家,"Japanese fast food chain specializing in gyudon (beef bowl), with numerous locations across Hong Kong",poi,medium
caviar,caviar,魚子醬,"Luxury salt-cured fish roe, served as a premium ingredient in HK fine dining and hotel restaurants",fnb,high
grilled-pineapple,燒菠蘿,燒菠蘿,"Pineapple caramelized on the grill, served as a dessert or side at HK barbecue and fusion restaurants",fnb,high
halal-food,halal,清真食品,"Halal-certified food compliant with Islamic dietary laws, with a growing presence in HK's diverse F&B scene",fnb,low
tibetan-food,tibetan,西藏菜,"Tibetan cuisine featuring momos, thukpa, and butter tea, a niche offering in HK's multicultural food landscape",fnb,low
hainanese-chicken-rice,海南雞飯,海南雞飯,"Poached chicken served with fragrant rice and ginger-scallion sauce, a beloved Southeast Asian dish ubiquitous in HK",fnb,low
bing-sutt,hongkongbingsutt,冰室,"Traditional HK-style ice room (冰室) serving affordable local comfort food and drinks, a nostalgic dining institution",fnb,high
french-food,法國菜,法國菜,"French cuisine, from casual bistro fare to haute cuisine, well-represented in HK's dining scene",fnb,low
japanese-food,日本菜,日本菜,"Broad Japanese cuisine category dominating HK's dining scene, from ramen and sushi to izakaya and teppanyaki",fnb,low
hk-chinese-cuisine,中菜,香港中菜,"Broad category of Chinese regional cuisines available in HK, dominated by Cantonese but including Sichuan, Shanghainese, and more",fnb,low
beef-tongue,牛舌,牛舌,"Grilled or braised beef tongue, a delicacy in Japanese yakiniku and Western cuisine, popular in HK izakayas and steakhouses",fnb,high
pandan-coconut-angel-cake,班蘭椰子天使,班蘭椰子天使蛋糕,"Light and fluffy Southeast Asian-inspired cake flavored with pandan and coconut, trending in HK bakeries",fnb,high
waffles-hk,waffle,窩夫,"Hong Kong-style waffles, including egg waffles (雞蛋仔) and griddled waffles (格仔餅)",fnb,high
afternoon-tea,afternoontea,下午茶,"British-style afternoon tea service with finger sandwiches, scones, and pastries, popular HK hotel and cafe offering",fnb,low
dim-sum,dimsum,點心,"Traditional Cantonese small plates served in bamboo steamers, the quintessential HK dining experience from breakfast to lunch",fnb,high
hk-buffet,自助餐,放題,"All-you-can-eat buffet dining format (放題) hugely popular in HK, ranging from Japanese to hotpot to international spreads",fnb,low
manteigaria,Manteigaria,Manteigaria,"Famous Portuguese egg tart bakery from Lisbon, opened in HK offering freshly baked pastéis de nata",poi,medium
portuguese-egg-tart,葡撻,葡撻,"Caramelized custard tart with flaky pastry crust (葡撻), a Macau-HK fusion dessert icon popularized by KFC and bakeries",fnb,high
food-court,foodcourt,Food Court,Multi-vendor dining hall format in HK malls and commercial buildings offering diverse cuisines at affordable prices,fnb,low
the-peninsula-hk,香港半島酒店,香港半島酒店,"Iconic luxury hotel in Tsim Sha Tsui known for its legendary afternoon tea, fine dining restaurants, and historic F&B heritage",poi,high
spring-moon,嘉麟樓,嘉麟樓,"Michelin-starred Cantonese restaurant at The Peninsula HK (嘉麟樓), famed for its mooncakes and refined dim sum",poi,medium
epure,epure,Épure,"Michelin-starred French fine dining restaurant in Harbour City, Tsim Sha Tsui, known for contemporary French cuisine",poi,medium
michelin-star,michelin,米芝蓮星級,"Michelin star rating system for restaurants, a key marker of culinary excellence in HK's competitive dining scene",fnb,high
kai-tak-food,啟德美食,啟德美食,"Dining scene in the emerging Kai Tak development area, home to new malls and the Kai Tak Sports Park with growing F&B options",fnb,low
shanghainese-cuisine,上海菜,上海菜,"Shanghai-region cuisine featuring xiaolongbao, braised pork belly, and pan-fried buns, well-established in HK",fnb,low
wonton-chicken-soup,雲吞雞,雲吞雞,"Comforting soup combining wontons and chicken in rich broth, a classic HK home-style and restaurant dish",fnb,high
chili-oil-wonton-noodles,紅油抄手拌麵,紅油抄手拌麵,"Sichuan-style wontons in spicy chili oil served over noodles (紅油抄手拌麵), a popular HK spicy comfort dish",fnb,high
air-dried-duck,風乾鴨,風乾鴨,"Traditional Chinese preserved duck air-dried for concentrated flavor, used in HK winter dishes and claypot rice",fnb,high
knife-cut-buns,刀切小饅頭,刀切小饅頭,"Small steamed Chinese buns (刀切小饅頭) served with condensed milk, a classic Shanghainese side dish found in HK restaurants",fnb,high
hk-chinese-cuisine,chinesefood,香港中菜,"Broad category of Chinese regional cuisines available in HK, dominated by Cantonese but including Sichuan, Shanghainese, and more",fnb,low
hk-chinese-cuisine,pekingduck,香港中菜,"Broad category of Chinese regional cuisines available in HK, dominated by Cantonese but including Sichuan, Shanghainese, and more",fnb,low
hk-chinese-cuisine,北京填鴨,香港中菜,"Broad category of Chinese regional cuisines available in HK, dominated by Cantonese but including Sichuan, Shanghainese, and more",fnb,low
korean-bbq,烤肉,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
hk-souvenirs,香港手信,香港手信,"Edible Hong Kong souvenirs and gifts (手信) including cookies, egg rolls, wife cakes, and preserved fruits",fnb,low
cookies-quartet,曲奇四重奏,曲奇四重奏,"Popular HK bakery chain (曲奇四重奏) known for premium butterfly palmiers and butter cookies, a go-to souvenir brand",poi,medium
hk-palmier,香港蝴蝶酥,香港蝴蝶酥,"HK-style butterfly palmier pastry (蝴蝶酥), a caramelized puff pastry cookie that has become an iconic local souvenir",fnb,high
banoffee-pie,BanoffeePie,Banoffee Pie,"British dessert combining banana, toffee, and cream on a biscuit base, popular in HK cafes and dessert shops",fnb,high
hk-private-kitchen,香港私房菜,香港私房菜,Unlicensed intimate dining venues in HK (私房菜) offering chef-driven multi-course meals in residential or hidden commercial spaces,fnb,low
tan-lok,炭烙,炭烙,"Charcoal-grilled cooking method (炭烙) giving food a distinctive smoky flavor, trending in HK barbecue and grilled food concepts",fnb,high
hk-street-food,香港小食,香港街頭小食,"Hong Kong street food culture including fish balls, siu mai, egg waffles, and stinky tofu from hawker stalls",fnb,low
pandan-layer-cake,班蘭千層糕,班蘭千層糕,"Southeast Asian steamed layer cake infused with pandan and coconut, a popular Nyonya-style dessert in HK",fnb,high
hui-lau-shan,許留山,許留山,"Iconic HK dessert chain (許留山) famous for mango-based desserts, sago, and herbal jelly drinks",poi,medium
japanese-shaved-ice,日式刨冰,日式刨冰,"Japanese-style kakigōri shaved ice desserts with flavored syrups and toppings, a popular HK summer dessert trend",fnb,low
indian-cuisine,印度咖喱,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
banh-mi,越南法包,越南法包,"Vietnamese baguette sandwich filled with meats, pickled vegetables, and herbs, increasingly popular in HK",fnb,high
ukiyo,Ukiyo,Ukiyo,Trendy HK cafe and restaurant concept known for Japanese-inspired dishes and Instagram-worthy presentation,poi,medium
hey-so-nuts,HeySoNuts,HeySoNuts,"Popular HK cafe in Mong Kok known for soufflé pancakes, all-day breakfast, and dessert-focused menu",poi,medium
late-night-eats,宵夜飯堂,宵夜飯堂,"Late-night dining options in HK (宵夜) including dai pai dong, congee shops, hotpot, and 24-hour cha chaan teng",fnb,low
dumplings,餃子,餃子,"Broad dumpling category spanning Chinese jiaozi, wontons, and xiaolongbao, a cornerstone of HK's comfort food culture",fnb,high
italian-restaurant,意大利餐廳,意大利餐廳,"Italian dining establishments in HK ranging from casual pizzerias to high-end ristoranti, one of the most popular Western cuisines",fnb,low
causeway-bay-food,銅鑼灣餐廳,銅鑼灣美食,"Diverse dining in Causeway Bay, one of HK's busiest shopping districts with everything from street food to high-end restaurants",fnb,low
indian-cuisine,印度菜,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
tung-chung-food,東涌美食,東涌美食,"Dining scene in Tung Chung on Lantau Island, anchored by Citygate Outlets mall and growing residential F&B options",fnb,low
instagrammable-restaurant,打卡餐廳,打卡餐廳,"Visually striking restaurants designed for social media photography (打卡餐廳), a major HK dining trend driven by Instagram culture",fnb,low
ofor-donut,OforDonut,OforDonut,HK artisan donut brand known for creative flavors and visually appealing donuts popular on social media,poi,medium
fusion-cuisine,Fusion菜,Fusion菜,"Culinary approach blending elements from different food traditions, a defining characteristic of contemporary HK dining",fnb,low
japanese-french-cuisine,日法料理,日法料理,"Cross-cultural cuisine combining Japanese ingredients and techniques with French culinary tradition, trending in HK fine dining",fnb,low
uni-pasta,海膽意粉,海膽意粉,"Pasta dish featuring sea urchin (uni) as the star ingredient, a luxury fusion dish popular in HK Japanese-Italian restaurants",fnb,high
michelin-star,米芝蓮,米芝蓮星級,"Michelin star rating system for restaurants, a key marker of culinary excellence in HK's competitive dining scene",fnb,high
mei-mei-kitchen,美味廚,美味廚,HK private kitchen or restaurant concept (美味廚) known for home-style Chinese cooking and intimate dining experience,poi,medium
sushimasa-omakase,鮨政omakase,鮨政,HK omakase sushi restaurant (鮨政) offering chef-selected seasonal Japanese fish and premium sushi experience,poi,medium
msquare,msquare,M Square,"Leisure and dining complex in Sai Kung offering multi-cuisine restaurants, sports facilities, and outdoor dining",poi,medium
sai-kung-food,西貢美食,西貢美食,"Dining scene in Sai Kung, famous for waterfront seafood restaurants where diners select live seafood from tanks",fnb,low
jidong-hk,悸动香港首店,悸动,"Chinese-style beverage and dessert chain (悸动) in HK known for fruit teas, milk teas, and trendy drink creations",poi,medium
sheung-wan-food,上環美食,上環美食,"Dining scene in Sheung Wan blending traditional dried seafood shops with trendy cafes, wine bars, and contemporary restaurants",fnb,low
kokuryu-ramen,黑龍拉麵,黑龍拉麵,HK ramen shop (黑龍拉麵) known for rich tonkotsu broth and authentic Japanese ramen experience,poi,medium
soy-sauce-chicken,豉油雞,豉油雞,"Cantonese classic of chicken poached in aromatic soy sauce marinade (豉油雞), a staple dish in HK siu mei shops and restaurants",fnb,high
members-only-chinese-restaurant,會員制中菜廳,會員制中菜廳,Exclusive private club Chinese dining venues in HK offering refined Cantonese cuisine to members and their guests,fnb,low
five-generation-fried-rice,五代同堂炒飯,五代同堂炒飯,"Premium fried rice dish (五代同堂炒飯) featuring multiple luxury ingredients, served at upscale HK Chinese restaurants",fnb,high
buffet,buffet,自助餐,"Self-service all-you-can-eat dining format, a dominant HK hotel and restaurant offering from breakfast to dinner",fnb,low
foie-gras-toast,鴨肝多士,鴨肝多士,"Luxury appetizer of pan-seared foie gras on toasted bread, common in HK French and fusion fine dining restaurants",fnb,high
tseung-kwan-o-food,將軍澳美食,將軍澳美食,"Dining scene in Tseung Kwan O, a major HK residential new town with waterfront promenade restaurants and mall dining",fnb,low
beans-cafe,BeansCafe,Beans Cafe,"Popular HK cafe chain known for coffee, desserts, and casual all-day dining in a cozy setting",poi,medium
skewers,日式串燒,串燒,"Grilled skewered meats and vegetables (串燒), a popular dining format spanning Japanese yakitori to Chinese BBQ street stalls in HK",fnb,high
bento,便當,便當,"Japanese-style boxed meal (便当) with compartmentalized rice and side dishes, widely available in HK takeaway and convenience stores",fnb,high
warm-fresh-beef,溫體牛,溫體牛,"Freshly slaughtered warm beef (溫體牛) used in Taiwanese-style hotpot and beef noodle soup, a niche but growing trend in HK",fnb,high
afternoon-tea,hightea,下午茶,"British-style afternoon tea service with finger sandwiches, scones, and pastries, popular HK hotel and cafe offering",fnb,low
banh-mi,vietnamesecuisine,越南法包,"Vietnamese baguette sandwich filled with meats, pickled vegetables, and herbs, increasingly popular in HK",fnb,high
hk-fine-dining,finedining,香港高級餐廳,"Upscale dining experiences in HK featuring tasting menus, premium ingredients, and refined service",fnb,low
avocado-egg-salad,酪梨蛋沙拉,酪梨蛋沙拉,"Healthy brunch dish combining avocado and egg, a staple item in HK's trendy cafe and health food scene",fnb,high
sourdough-bread,酸種麵包,酸種麵包,"Naturally leavened bread with tangy flavor, a staple of HK's artisanal bakery and brunch cafe culture",fnb,high
dill,蒔蘿,蒔蘿,"Aromatic herb commonly used in European and Middle Eastern cooking, appearing in HK fusion and fine dining dishes",fnb,high
coffee-shop,咖啡,Cafe,"Generic coffee shop and cafe concept in HK, ranging from 茶餐廳-style to specialty cafes",fnb,low
hunan-cuisine,湖南菜,湖南菜,"Spicy and bold Hunan-region Chinese cuisine featuring smoked meats, pickled chilies, and hearty stir-fries, growing in HK popularity",fnb,low
pain-de-campagne,paindecampagne,Pain de Campagne,"Traditional French country sourdough bread, featured in HK artisanal bakeries and upscale restaurant bread baskets",fnb,high
sourdough-bread,鄉村麵包,酸種麵包,"Naturally leavened bread with tangy flavor, a staple of HK's artisanal bakery and brunch cafe culture",fnb,high
sushimasa-omakase,鮨政,鮨政,HK omakase sushi restaurant (鮨政) offering chef-selected seasonal Japanese fish and premium sushi experience,poi,medium
japanese-food,日本美食,日本菜,"Broad Japanese cuisine category dominating HK's dining scene, from ramen and sushi to izakaya and teppanyaki",fnb,low
chiuchow-daleng,大師級潮州菜,潮州打冷,"Chiuchow (Chaozhou) late-night dining culture featuring marinated cold dishes, congee, and oyster omelettes",fnb,high
bento,bentobox,便當,"Japanese-style boxed meal (便当) with compartmentalized rice and side dishes, widely available in HK takeaway and convenience stores",fnb,high
pepperoni,pepperoni,Pepperoni,"American-style spicy cured sausage, the most popular pizza topping in HK and a staple deli meat",fnb,high
mortadella,mortadella,Mortadella,"Italian large pork sausage with pistachios and fat cubes, appearing in HK Italian delis and gourmet sandwiches",fnb,high
roman-pizza,romanpizza,Roman Pizza,"Roman-style pizza with thin crispy crust baked in rectangular trays and sold by weight, an emerging HK pizza trend",fnb,high
italian-restaurant,italianfood,意大利餐廳,"Italian dining establishments in HK ranging from casual pizzerias to high-end ristoranti, one of the most popular Western cuisines",fnb,low
italian-restaurant,意式,意大利餐廳,"Italian dining establishments in HK ranging from casual pizzerias to high-end ristoranti, one of the most popular Western cuisines",fnb,low
south-indian-cuisine,南印度菜,南印度菜,"South Indian food featuring dosas, idlis, and coconut-based curries, distinct from North Indian and well-represented in HK",fnb,low
exotic-cuisine,異國料理,異國料理,"Broad category for less common international cuisines in HK including African, Caribbean, Eastern European, and South American foods",fnb,low
hk-curry,香港咖喱,香港咖喱,"HK-style curry blending Cantonese and Southeast Asian influences, found in cha chaan teng curry beef brisket and fish ball dishes",fnb,high
american-grill,AmericanGrill,American Grill,"American-style grilled food concept featuring steaks, burgers, and barbecue, popular in HK's Western dining scene",fnb,low
chicago-grill,ChicagoGrill,Chicago Grill,"Chicago-style deep-dish pizza and grilled specialties, a specific American regional food concept in HK",fnb,low
hk-style-food,港式風味,港式美食,Distinctive Hong Kong culinary style blending Cantonese traditions with Western and Southeast Asian influences,fnb,low
gelato,gelato,Gelato,"Italian-style artisanal ice cream with dense texture and intense flavors, widely available in HK gelaterias and dessert shops",fnb,high
handmade-meat-patty,手打肉餅,手打肉餅,"Artisanal hand-chopped or hand-formed meat patties for burgers, a HK gourmet burger trend emphasizing texture and quality",fnb,high
cart-noodles,車仔麵,車仔麵,"HK-style DIY noodle dish (車仔麵) where diners pick noodles, toppings, and broth from a cart-style stall, a beloved street food classic",fnb,high
hk-cheap-eats,平民美食,香港平價美食,"Affordable dining options in HK including cha chaan teng, dai pai dong, and street food stalls offering budget-friendly meals",fnb,low
korean-bbq,日式燒肉,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
slow-cook-wagyu,澳洲和牛,慢煮和牛,"Slow-cooked wagyu beef, a premium Japanese beef preparation method trending in HK fine dining",fnb,high
dessert,梳乎厘,甜品,"Broad dessert category covering HK-style sweets (糖水), Western pastries, and Asian confections",fnb,low
seafood,seafood,海鮮,"Broad seafood category central to HK cuisine, from live seafood restaurants in Sai Kung to street-level fish ball stalls",fnb,high
takeaway-lunch-box,外賣飯盒,外賣飯盒,"Affordable takeaway boxed meals (外賣飯盒) with rice and multiple toppings, a staple of HK working-class lunch culture",fnb,low
hk-vegetarian,香港素食,香港素食,"Hong Kong vegetarian and plant-based dining scene, from traditional Buddhist vegetarian restaurants to modern vegan cafes",fnb,low
portuguese-roast-suckling-pig,葡國乳豬,葡式烤乳豬,"Macanese-Portuguese style roast suckling pig with crispy skin, a signature dish in HK Macanese restaurants",fnb,high
portuguese-chicken-rice,葡國雞飯,葡國雞飯,"Macanese baked chicken with rice in creamy coconut-turmeric sauce (葡國雞飯), a HK-Macau fusion classic",fnb,low
curry-stir-fried-crab,咖喱炒蟹,咖喱炒蟹,"Whole crab wok-fried in aromatic HK-style curry sauce (咖喱炒蟹), a signature dish at typhoon shelter and seafood restaurants",fnb,high
portuguese-style-clams,葡式炒蜆,葡式炒蜆,"Clams cooked Macanese-Portuguese style with white wine, garlic, and herbs (葡式炒蜆), a popular HK seafood dish",fnb,high
seafood,海鮮料理,海鮮,"Broad seafood category central to HK cuisine, from live seafood restaurants in Sai Kung to street-level fish ball stalls",fnb,high
hk-curry,日式咖哩,香港咖喱,"HK-style curry blending Cantonese and Southeast Asian influences, found in cha chaan teng curry beef brisket and fish ball dishes",fnb,high
indian-cuisine,indiancuisine,印度菜,"Indian cuisine ranging from North Indian curries to South Indian dosas, with a long-established HK presence",fnb,low
central-food,中環美食,中環美食,"Diverse dining in HK's Central district, from Michelin-starred restaurants and speakeasy bars to dai pai dong and cha chaan teng",fnb,low
causeway-bay-food,銅鑼灣美食,銅鑼灣美食,"Diverse dining in Causeway Bay, one of HK's busiest shopping districts with everything from street food to high-end restaurants",fnb,low
lai-chi-kok-food,荔枝角美食,荔枝角美食,"Dining in Lai Chi Kok, a Kowloon commercial district with industrial building canteens, local eateries, and D2 Place mall restaurants",fnb,low
mong-kok-food,旺角美食,旺角美食,"HK's densest dining district in Mong Kok featuring street food stalls, cha chaan teng, hotpot restaurants, and late-night eats",fnb,low
yakitori,焼鳥,焼鳥,"Japanese grilled chicken skewers (焼鳥), a staple izakaya offering and popular HK drinking food",fnb,high
skewers,串燒,串燒,"Grilled skewered meats and vegetables (串燒), a popular dining format spanning Japanese yakitori to Chinese BBQ street stalls in HK",fnb,high
japanese-food,日式,日本菜,"Broad Japanese cuisine category dominating HK's dining scene, from ramen and sushi to izakaya and teppanyaki",fnb,low
tsim-sha-tsui-food,尖沙咀美食,尖沙咀美食,"Tsim Sha Tsui dining spanning luxury hotel restaurants, Korean BBQ in Kimberley Street, Indian food in Chungking Mansions, and Harbour City dining",fnb,low
jordan-food,佐敦美食,佐敦美食,"Jordan neighborhood dining known for congee shops, dai pai dong, hotpot, and Temple Street night market street food",fnb,low
cantonese-restaurant,粵菜,粵式酒樓,"Traditional Cantonese banquet-style restaurant (酒樓), serving dim sum and elaborate dinner courses",fnb,low
dai-pai-dong,大排檔,大排檔,"Open-air street food stalls (大排檔) serving wok-hei stir-fried dishes, a disappearing but iconic HK dining institution",fnb,high
takeaway-lunch-box,饭盒,外賣飯盒,"Affordable takeaway boxed meals (外賣飯盒) with rice and multiple toppings, a staple of HK working-class lunch culture",fnb,low
